id,aleacion,composicion,categoria,fabricacion,fase,densidad,dureza,modulo_young,limite_elastico,esfuerzo_ultimo,deformacion
490,CrNbTiVZr,"Cr20,2-Nb20-Ti19,9-V19,6-Zr20,3",Refractario,fusion por arco al vacio + HIP 1473 K por 2 h a 207 Mpa + estudio a 1273 K,BCC+IM,6.57,449,NA,259,NA,50
491,Hf0.5Mo0.5NbTiZrC0.1,Hf0.5-Mo0.5-NbTi-Zr-C0.1,Refractario,Fusion por arco,BCC+IM,7.8,NA,NA,1183,2139,38
492,Hf0.5Mo0.5NbTiZrC0.3,Hf0.5-Mo0.5-Nb-Ti-Zr-C0.3,Refractario,Fusion por arco,BCC+IM,7.7,NA,NA,1201,1965,33
493,HfMo0.25NbTaTiZr,Hf-Mo0.25-Nb-Ta-Ti-Zr,Refractario,Fusion por arco al vacio,BCC,9.9,395,96,1112,NA,50
494,HfMo0.5NbTaTiZr,Hf-Mo0.5-Nb-Ta-Ti-Zr,Refractario,Fusion por arco al vacio,BCC,10,480,102,1317,NA,50
495,HfMo0.75NbTaTiZr,Hf-Mo0.75-Nb-Ta-Ti-Zr,Refractario,Fusion por arco al vacio,BCC,10,492,109,1373,NA,50
496,HfMoNbTaTiZr,Hf-Mo-Nb-Ta-Ti-Zr,Refractario,Fusion por arco al vacio,BCC,10,505,115,1512,NA,12
497,HfNbTaTiZr,Hf-Nb-Ta-Ti-Zr,Refractario,Fusion por arco al vacio,BCC,9.9,335,85,1015,NA,50
498,HfMoTaTiZr,Hf20-Mo20-Ta20-Ti20-Zr20,Refractario,Fusion por arco al vacio,BCC,10.2,542,155,1600,NA,4
499,HfMoTaTiZr,Hf20-Mo20-Ta20-Ti20-Zr20,Refractario,Fusion por arco al vacio + estudio a 800°C,BCC,10.3,NA,NA,1045,NA,19
500,HfMoTaTiZr,Hf20-Mo20-Ta20-Ti20-Zr20,Refractario,Fusion por arco al vacio + estudio a 1000°C,BCC,10.4,NA,NA,855,NA,30
501,HfMoTaTiZr,Hf20-Mo20-Ta20-Ti20-Zr20,Refractario,Fusion por arco al vacio + estudio a 1200°C,BCC,10.5,NA,NA,404,NA,30
502,HfMoNbTaTiZr,"Hf16,7-Mo16,7-Nb16,7-Ta16,7-Ti16,7-Zr16,7",Refractario,Fusion por arco al vacio,BCC,10,505,147,1512,NA,12
503,HfMoNbTaTiZr,"Hf16,7-Mo16,7-Nb16,7-Ta16,7-Ti16,7-Zr16,7",Refractario,Fusion por arco al vacio + estudio a 800°C,BCC,10.1,NA,NA,1007,NA,23
504,HfMoNbTaTiZr,"Hf16,7-Mo16,7-Nb16,7-Ta16,7-Ti16,7-Zr16,7",Refractario,Fusion por arco al vacio + estudio a 1000°C,BCC,10.2,NA,NA,814,NA,30
505,HfMoNbTaTiZr,"Hf16,7-Mo16,7-Nb16,7-Ta16,7-Ti16,7-Zr16,7",Refractario,Fusion por arco al vacio + estudio a 1200°C,BCC,10.3,NA,NA,556,NA,30
506,HfMoNbTiZr,Hf-Mo-Nb-Ti-Zr,Refractario,Fusion por arco + homogenizado 1373 K por 10 h,BCC,8.7,NA,139,1575,NA,9
